date Mon Aug 15 09:21:53 am 2005
base dec  timestamps relative
internal events logged
   0.010000000    EnvSpeedEntry := 870
   0.020000000    EnvSpeedEntry := 850
   0.020000000    EnvSpeedEntry := 830
   0.030000000    EnvSpeedEntry := 810
   0.020000000    EnvSpeedEntry := 790
   0.020000000    EnvSpeedEntry := 780
   0.010000000    EnvSpeedEntry := 760
   0.020000000    EnvSpeedEntry := 720
   0.020000000    EnvSpeedEntry := 690
   0.020000000    EnvSpeedEntry := 650
   0.010000000    EnvSpeedEntry := 600
   0.020000000    EnvSpeedEntry := 520
   0.020000000    EnvSpeedEntry := 490
   0.010000000    EnvSpeedEntry := 450
   0.020000000    EnvSpeedEntry := 410
   0.020000000    EnvSpeedEntry := 400
   0.020000000    EnvSpeedEntry := 380
   0.010000000    EnvSpeedEntry := 340
   0.020000000    EnvSpeedEntry := 320
   0.022575250    EnvSpeedEntry := 310
   0.007424750    EnvSpeedEntry := 270
   0.020000000    EnvSpeedEntry := 230
   0.020000000    EnvSpeedEntry := 220
   0.020000000    EnvSpeedEntry := 160
   0.010000000    EnvSpeedEntry := 110
   0.030000000    EnvSpeedEntry := 40
   0.010000000    EnvSpeedEntry := 0
   0.010000000    EnvSpeedEntry := 0
   0.030000000    EnvSpeedEntry := 0
   0.042561250    EnvSpeedEntry := 0
   0.017438750    EnvSpeedEntry := 0
   0.020000000    EnvSpeedEntry := 0
   0.020000000    EnvSpeedEntry := 0
   0.010000000    EnvSpeedEntry := 0
   0.020000000    EnvSpeedEntry := 0
   0.020000000    EnvSpeedEntry := 0
   0.010000000    EnvSpeedEntry := 0
   0.020000000    EnvSpeedEntry := 0
   0.650000000    EnvTurnSignal := 0
   0.580000000    EnvLightSwitch := 0
   0.600000000    EnvMotorSwitch := 0
